番号	UCS		char	Aozora
48684	-		⿰糸𠪨	※［＃「纏」の「广」に代えて「厂」、ページ数-行数］
49394	-		⿰糸𠪨	※［＃「纏」の「广」に代えて「厂」、ページ数-行数］
4961	-		⿰糸𠪨	※［＃「纏のまだれに代えてがんだれ」、ページ数-行数］
357	-		⿰糸𢋨	※［＃「纒」の「厂」に代えて「广」、ページ数-行数］
42727	-		-	※［＃「缶＋権のつくり」、ページ数-行数］
50066	-		⿰舟走	※［＃「舟＋走」、ページ数-行数］
221	-		⿰芻夋	※［＃「皺」の「皮」に代えて「俊のつくり」、ページ数-行数］
1632	-		-	※［＃「虫＋（くさかんむり／天／廾）、ページ数-行数］
4690	-		⿰血卜	※［＃「血＋卜」、ページ数-行数］
4768	-		⿰血卜	※［＃「血＋卜」、ページ数-行数］
2227	-		⿰衣農	※［＃「衣＋農」、読みは「じょう」、ページ数-行数］
353	-		⿰衤㕓	※［＃「ころもへん＋（纒−糸）」、ページ数-行数］
522	-		-	※［＃「言＋（「荒」の「亡」の代わりに「曷−日−勹」）」、ページ数-行数］
2078	-		⿰金𢆍	※［＃「金＋※［＃「插」でつくりの縦棒が下に突き抜けている、第4水準2-13-28］のつくり」、ページ数-行数］
682	-		⿰金𢆍	※［＃「金＋挿のつくり」、ページ数-行数］
2537	-		⿰馬𤲢	※［＃「馬＋（「堊」の「王」に代えて「田」）」、ページ数-行数］
2227	-		⿰髟坐	※［＃「髟＋坐」、読みは「さ」、ページ数-行数］
4178	-		⿰魚翏	※［＃「魚＋膠のつくり」、ページ数-行数］
4207	-		⿰ＹＹ	※［＃「Ｙ＋Ｙ」、ページ数-行数］
46519	-		⿰𧾷歩	※［＃「足へん＋歩」、ページ数-行数］
48313	-		⿰𩙿旨	※［＃「飮のへん＋旨」、ページ数-行数］
47202	-		⿱○六	※［＃「○／六」、ページ数-行数］
1323	-		-	※［＃「（禾＋尤）／上／日」、ページ数-行数］
1323	-		⿱一力	※［＃「一／力」、ページ数-行数］
2227	-		⿱三二	※［＃「三／二」、ページ数-行数］
4563	-		⿱亠畂	※［＃「亠／（田＋久）」、ページ数-行数］	# 畝
4635	-		⿱亠畂	※［＃「なべぶた／（田＋久）」、ページ数-行数］	# 畝
1872	-		⿱口恩	※［＃「□冠に恩」、ページ数-行数］	# 法律語彙
1872	-		⿱口温	※［＃「□冠に温」、ページ数-行数］	# 法律語彙
1872	-		⿱口軋	※［＃「□冠に軋」、ページ数-行数］	# 法律語彙
43029	-		⿱就言	※［＃「就／言」、ページ数-行数］
2084	-		⿱山頽	※［＃「山／頽」、ページ数-行数］
42244	-		⿱戸乙	※［＃「戸／乙」、ページ数-行数］
510	-		⿱敞犬	※［＃「敞」の下に「犬」、ページ数-行数］
1872	-		⿱知久	※［＃「知の下に久」、ページ数-行数］	# statistics
1872	-		⿱知寸	※［＃「知の下に＋寸」、ページ数-行数］	# statistics
3055	-		⿱穴宇	※［＃「穴／宇」、ページ数-行数］
4829	-		⿱臼勿	※［＃「臼／勿」、ページ数-行数］
4517	-		-	※［＃「蓙」の左側の「人」に代えて「口」、ページ数-行数］
4520	-		-	※［＃「蓙」の左側の「人」に代えて「口」、ページ数-行数］
4521	-		-	※［＃「蓙」の左側の「人」が「口」、ページ数-行数］
1441	-		⿱艹溪	※［＃「くさかんむり＋溪」、ページ数-行数］
49617	-		⿱艹𣗥	※［＃「くさかんむり／（束＋束）」、ページ数-行数］
18367	-		⿱芖巳	※［＃「くさかんむり／大／巳」、ページ数-行数］
48427	-		⿱芖巳	※［＃「くさかんむり／大／巳」、ページ数-行数］
1577	-		⿱鹿京	※［＃「鹿／京」、ページ数-行数］
4376	-		-	※［＃「穀」の「禾」に代えて「黄」、ページ数-行数］
18368	-		⿱𠆢〼	※［＃「仝」の「工」に代えて「※［＃ます記号、1-2-23］」、屋号を示す記号、ページ数-行数］
522	-		⿱𠔿民	※［＃「（箆−竹−比）／民」、ページ数-行数］
522	-		⿱𡖅手	※［＃「（夕＋匕）／手」、ページ数-行数］
43688	-		⿱𢽟鳥	※［＃「（來＋攵）／鳥」、ページ数-行数］
1661	-		-	※［＃「占のあたま／（冂＜メ）／禽のあし」、ページ数-行数］
42414	-		-	※［＃「壼」の「亞」に代えて「亜」、ページ数-行数］
1336	-		⿵門臭	※［＃「闃」の「目」に代えて「自」、ページ数-行数］
526	-		⿸厂虎	※［＃「厂＋虎」、ページ数-行数］
353	-		⿸疒仙	※［＃「やまいだれ＋仙」、ページ数-行数］
2084	-		⿸疒邕	※［＃「癰−隹」、ページ数-行数］
4222	-		⿹戈止	※［＃「武」の「弋」が「戈」、ページ数-行数］
2665	-		⿹廾	※［＃「（馬−れんが）／廾」、ページ数-行数］
1872	-		⿺克土	※［＃「尅」の寸を土に変えたもの、ページ数-行数］
1872	-		⿺克土	※［＃「尅の寸を土に変えたもの」、ページ数-行数］
363	-		-	※［＃「風にょう」＋「容」の「口」に代えて「又」、ページ数-行数］
48390	-		⿻へ一	※［＃「重なった「へ」／一」、屋号を示す記号、ページ数-行数］

【装飾漢字】
48390	U+05927	-	大⃝	※［＃丸大、418-5］

45652	［＃小書き平仮名こ、128-12］
16020	U+03042	U+03099	ア゙	※［＃濁点付き片仮名ア、418-18］
47910				［＃小書き片仮名ヲ］
47911				［＃小書き片仮名ヲ］
47912				［＃小書き片仮名ヲ］

【アルファベット・発音記号】
43554	U+01E45		ṅ	※［＃上ドット付きn］
43554	U+01E6D		ṭ	※［＃下ドット付きh］
43554	U+01E41		ṁ	※［＃上ドット付きm］
43554	U+01E45		ṅ	※［＃上ドット付きn］
43554	U+01E47		ṇ	※［＃下ドット付きn］
43554	U+01E5B		ṛ	※［＃下ドット付きr］
43554	U+01E63		ṣ	※［＃下ドット付きs］
43554	U+01E6D		ṭ	※［＃下ドット付きt］
43554	U+01E6C		Ṭ	※［＃下ドット付きT］

2469	U+1D81F	U+1D81F	𝆏𝆏	※［＃ピアニッシモ「pp」］
2469	U+1D191	U+1D191	𝆑𝆑	※［＃フォルテッシモ「ff」］

数式	-			※［＃「√＜-1」］
数式	-			※［＃「√＜3」］

1704	※［横線に長い縦線四本の記号、上巻-241-12］

括弧	U+03014		〔	※［＃始め亀甲括弧、1-1-44］
括弧	U+03015		〕	※［＃終わり亀甲括弧、1-1-45］
括弧	U+0FF3B		［	※［＃始め角括弧、1-1-46］
括弧	U+0FF3D		］	※［＃終わり角括弧、1-1-47］
括弧	U+0300A		《	※［＃始め？］
括弧	U+0300B		》	※［＃終わり？］
			｜

47202	U+0BBDC		믜	※［＃ハングル文字、「ロ／亅／一」、439-17］
47202			이	※［＃ハングル文字、「○＋｜」、439-17］
				※［＃ハングル文字、「フ＋ト」、463-1］
47202				※［＃ハングル文字、「「ロ／亅／一」＋｜」、440-7］
47202				※［＃ハングル文字、「ロ」に似た文字、463-1］
47202				※［＃ハングル文字、「└／┴／─／｜｜／─」、465-9］

